date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:49	74098/74098	---M--	200	added ('OK')	image/jpeg	etag:%2212172-5b0063f2-d6062a6abb9d34c2;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img3.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img3.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:01	61008/61008	---M--	200	added ('OK')	image/jpeg	etag:%22ee50-5b0063f4-ae39c04bee50df8f;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img8.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img8.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:06	137517/137517	---M--	200	added ('OK')	image/jpeg	etag:%222192d-5b0063f2-f43ec55398ff3f43;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img5.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img5.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:08	46851/46851	---M--	200	added ('OK')	image/jpeg	etag:%22b703-5b0063f4-1cf86e7f4d3e2aee;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img9.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img9.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:09	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2022:02:09%20GMT	http://thesharthee.com/tf/mackien-preview/blog.html	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/blog.html	(from http://thesharthee.com/tf/mackien-preview/)
03:32:24	106646/106646	---M--	200	added ('OK')	image/jpeg	etag:%221a096-5b0063f4-4f7873fa58813b58;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img10.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img10.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:27	113388/113388	---M--	200	added ('OK')	image/jpeg	etag:%221baec-5b5ce9ba-2b7bc9d7f7dcc2f2;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb1.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb1.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:27	253757/253757	---M--	200	added ('OK')	image/jpeg	etag:%223df3d-5b0063f2-d42d9e98422e3a77;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img6.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img6.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:29	462574/462574	---M--	200	added ('OK')	image/gif	etag:%2270eee-5af061d4-2edffbca24fb1e1c;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/icon/loader.gif	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/icon/loader.gif	(from http://thesharthee.com/tf/mackien-preview/)
03:32:29	15117/15117	---M--	200	added ('OK')	image/jpeg	etag:%223b0d-5b5ce9ba-84eef4cfa1a7cc4e;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb3.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb3.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:33	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22bf30-5a60069c-6fd322a4643e0a70;gz%22	http://thesharthee.com/tf/mackien-preview/assets/js/bootstrap.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/bootstrap.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:33	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-5b2fabe4-50fa187a680457fd;gz%22	http://thesharthee.com/tf/mackien-preview/assets/js/owl.carousel.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/owl.carousel.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:33	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-5a3bdfe2-33b2d06aace6e575;gz%22	http://thesharthee.com/tf/mackien-preview/assets/js/vendor/jquery-2.2.4.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/vendor/jquery-2.2.4.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:34	62658/62658	---M--	200	added ('OK')	image/jpeg	etag:%22f4c2-5b5ce9ba-f9f88de6a4283d79;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb2.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb2.jpg	(from http://thesharthee.com/tf/mackien-preview/)
